Cycle,A1,A2,A3,A4,A5,A6
1,-88.19951345,-54.34421293,-40.35230698,69.41382222,-2.197247029,0.059675325
2,44.11278059,-34.28598552,-21.59710235,122.242451,67.30578186,9.081168705
3,116.6840381,-6.287830263,-7.192700131,194.7346873,94.21977438,16.59028326
4,161.1778767,6.22508775,6.422709102,263.2168392,107.3977283,20.78782233
5,197.9837286,12.21972865,14.09713531,325.27193,134.0878273,19.2280296
6,240.4664278,12.41606377,13.75383191,388.6284324,131.0322811,10.3197489
7,275.377721,10.15615521,15.30240441,463.8161711,126.3733841,17.42107481
8,305.3614055,11.75901972,11.35778094,540.488241,111.592451,19.87039079
9,346.3587979,6.422160466,4.414984145,626.2428761,92.27755204,16.03605445
10,391.0101912,8.867186567,3.58511474,725.3394192,115.3263326,18.69463039
11,447.08552,-0.886082244,0.375583965,869.9165909,116.8588964,13.25694325
12,529.4354126,2.925474825,7.511495029,1066.466816,138.8043062,43.30906288
13,655.0850451,24.89094339,27.13373832,1335.469278,232.6239281,74.75478557
14,854.2502877,59.63102539,71.2711033,1862.249447,383.3193348,153.4956988
15,1190.592509,126.8137184,151.6358067,2538.246603,616.7616914,291.5430316
16,1724.641982,259.7298923,316.2815453,3356.362654,1018.824653,548.4563645
17,2579.492668,506.6639666,595.4432133,4187.903374,1523.84254,986.7527211
18,3471.230992,937.5673029,1083.602903,4927.585962,2023.875261,1702.43706
19,4351.957722,1617.849493,1814.318791,5571.756743,2421.479212,2690.094963
20,5120.276406,2550.678215,2700.569301,6162.276,2743.136919,3598.456347
21,5776.183954,3553.592928,3535.258449,6700.022724,2988.592131,4381.690518
22,6347.61324,4479.962557,4301.618121,7190.524174,3161.23138,5034.973926
23,6856.70582,5302.355025,4990.753551,7622.508279,3271.154426,5604.983576
24,7296.082477,6022.082474,5621.794707,8016.411298,3304.198906,6129.331304
25,7681.071054,6651.855455,6193.968289,8345.370236,3282.525564,6586.943802
26,8010.372828,7207.667265,6704.460547,8636.044602,3235.614255,6974.573828
27,8284.324524,7681.779125,7166.859311,8884.015869,3154.421331,7323.666744
28,8515.895794,8094.789678,7569.548908,9113.742334,3044.501096,7623.393169
29,8710.14196,8439.982655,7924.134278,9312.510599,2894.685161,7887.116367
30,8885.710255,8734.620034,8226.868829,9488.80472,2737.686149,8079.744942
31,9019.144619,8962.878266,8491.805209,9640.230887,2568.449576,8256.572845
32,9126.468802,9141.390511,8717.950939,9777.887521,2391.034466,8403.134961
33,9200.733162,9274.918531,8903.68787,9907.688858,2203.886086,8541.208959
34,9264.385263,9376.285879,9044.243836,10020.57412,2016.251545,8644.634906
35,9308.986739,9442.07253,9158.433372,10116.34364,1832.393115,8742.709521
36,9341.447236,9485.382027,9233.039768,10180.6884,1644.225588,8804.670777
37,9357.357564,9510.669555,9300.743107,10240.50396,1451.422515,8869.079487
38,9371.459767,9522.128288,9332.925826,10288.78139,1276.987774,8907.717769
39,9385.68821,9523.860005,9363.286911,10335.39357,1106.588685,8935.190713
40,9395.851057,9528.066017,9383.594979,10369.69204,947.9347759,8950.862427
41,9407.269465,9525.072641,9410.996099,10406.41156,775.354921,8933.13157
42,9420.363186,9517.773994,9422.693373,10428.64606,614.1537612,8930.601989
43,9433.639989,9515.673515,9421.943338,10460.68376,451.1243825,8904.133525
44,9436.647023,9506.962644,9414.373168,10476.78393,287.5883952,8915.749468
45,9438.391735,9504.921502,9414.554964,10508.61133,97.92567648,8903.362857
46,9445.351458,9491.265462,9413.388441,10529.79651,-89.70593696,8896.95025
47,9452.537254,9484.632308,9407.822824,10543.9651,-253.8812182,8861.02734
48,9460.212721,9472.191829,9407.129127,10557.56131,-420.4470068,8834.5687
49,9465.823294,9461.582898,9413.321415,10560.39474,-591.175524,8808.08639
50,9471.943961,9445.862798,9429.710536,10585.20313,-798.2597265,8781.115183
51,9477.948469,9422.627149,9442.883122,10615.03306,-1000.815033,8742.176255
