Temperature,A1,A2,A3,A4,A5,A6
65,18555.07797,18183.2604,18744.28327,20957.64573,23407.97005,18941.1092
65.5,18501.33149,18087.19735,18612.33295,20806.45298,23406.69932,18854.87288
66,18447.58501,17991.13431,18480.38263,20655.26023,23405.4286,18768.63655
66.5,18393.83853,17895.07126,18348.43231,20504.06747,23404.15787,18682.40023
67,18340.09206,17799.00821,18216.48199,20352.87472,23402.88714,18596.16391
67.5,18286.34558,17702.94517,18084.53167,20201.68197,23401.61642,18509.92758
68,18232.5991,17606.88212,17952.58135,20050.48922,23400.34569,18423.69126
68.5,18161.94734,17496.42272,17786.98143,19858.56232,23320.94138,18294.88811
69,18070.86748,17367.3312,17593.91571,19639.66206,23171.33152,18130.00844
69.5,17957.87507,17219.34729,17380.62644,19402.87334,22951.74463,17929.60724
70,17822.15796,17047.73649,17155.02668,19148.3858,22635.4434,17714.38032
70.5,17664.95248,16858.13192,16919.07759,18873.67752,22196.64698,17487.59882
71,17485.12935,16649.83273,16675.15693,18555.8869,21612.61097,17247.32041
71.5,17282.87613,16424.67592,16423.79974,18196.71193,20871.81501,16994.90721
72,17051.78035,16183.61934,16166.33309,17796.00282,19992.72269,16733.31986
72.5,16791.62965,15931.35372,15899.23507,17362.42836,19027.13181,16452.6641
73,16503.90777,15666.58744,15623.88629,16912.92528,18044.30448,16154.5176
73.5,16193.86244,15393.56634,15339.26613,16494.78352,17122.47425,15847.81435
74,15868.31153,15112.32732,15046.14673,16109.81494,16319.00868,15534.22479
74.5,15545.90357,14825.91911,14745.13424,15759.89419,15651.64356,15227.22542
75,15232.39577,14532.14181,14438.32689,15440.2116,15119.72813,14932.239
75.5,14927.77559,14228.0511,14121.92354,15138.29445,14698.69794,14649.83968
76,14627.46417,13903.08273,13787.08664,14820.46149,14345.15298,14372.53102
76.5,14321.15828,13544.96328,13427.11138,14482.96635,14020.85189,14090.37798
77,13986.35622,13158.09727,13049.91229,14136.63852,13704.54111,13792.20971
77.5,13625.56815,12755.86159,12665.19525,13789.98843,13386.2616,13480.6976
78,13247.82756,12351.7784,12286.73111,13453.83283,13061.50301,13162.15477
78.5,12866.29918,11966.99854,11934.30551,13147.52758,12736.94068,12844.08765
79,12499.3345,11625.77614,11614.67811,12867.47117,12421.84819,12543.9586
79.5,12172.81915,11295.9973,11277.40356,12557.75012,12113.92821,12261.59434
80,11863.40565,10900.39157,10823.90572,12112.711,11772.16011,11959.99689
80.5,11509.28303,10314.89373,10157.44047,11402.73832,11318.80296,11549.82055
81,10983.62725,9513.204468,9272.27605,10424.00809,10685.82074,10904.23091
81.5,10224.24216,8502.830388,8188.243747,9202.892697,9856.041153,9998.504158
82,9231.20225,7345.984912,6993.229521,7829.386913,8839.702563,8852.635261
82.5,8049.603722,6180.692954,5872.966302,6505.54098,7699.733147,7538.925338
83,6792.566092,5244.549257,5010.513676,5484.817085,6593.435631,6226.409476
83.5,5701.98353,4579.385575,4411.870938,4769.279075,5657.416783,5169.88946
84,4892.241364,4168.618049,4061.948511,4338.991913,4933.465072,4416.024762
84.5,4354.521448,3977.693963,3917.875228,4148.267368,4435.289595,3950.243229
85,4064.428402,3936.024145,3884.335481,4094.018861,4150.879551,3734.720464
85.5,3964.740653,3921.754103,3865.641087,4046.199142,4002.687677,3683.886046
86,3932.196627,3908.427133,3852.439346,3999.269701,3918.871199,3665.940201
86.5,3905.27793,3895.681603,3841.880782,3954.884095,3872.117463,3651.696772
87,3881.511057,3883.624171,3831.604004,3914.82533,3845.414092,3639.229457
87.5,3860.017178,3872.116495,3821.667773,3880.432612,3823.993541,3627.891206
88,3839.711388,3860.470648,3812.35264,3851.705142,3804.373243,3617.321803
88.5,3820.084402,3849.312478,3803.705261,3828.084003,3785.699727,3607.316325
89,3801.073085,3838.398605,3794.954702,3808.033512,3767.840531,3597.676051
89.5,3783.117128,3827.645377,3786.510265,3790.437227,3750.631578,3588.475051
90,3765.973624,3816.891894,3778.0734,3774.186735,3734.794052,3579.198255
90.5,3749.660924,3807.175283,3769.94774,3759.202552,3720.097227,3569.695396
91,3734.455338,3797.427821,3761.69558,3745.161894,3706.640307,3560.432951
91.5,3720.380262,3788.103415,3753.643126,3731.867178,3694.211407,3551.170221
92,3706.739029,3779.378476,3745.447801,3719.344618,3683.10731,3542.207157
92.5,3693.76898,3770.96352,3737.315006,3707.111852,3672.400612,3533.67027
93,3681.292412,3762.08822,3728.805406,3694.908597,3661.676186,3525.307302
93.5,3668.873284,3753.720531,3720.034554,3682.546044,3650.945613,3516.933372
94,3656.752346,3745.570187,3711.417323,3670.903753,3639.540333,3508.391039
94.5,3644.701397,3737.063991,3702.575186,3658.932108,3627.938466,3499.714239
95,3633.393597,3729.501646,3694.664345,3648.770368,3614.602851,3490.354854
